,date,has_setlist,name,tour,venue
0,27-10-2008,False,Ray,No Tour Assigned,XO club
1,26-10-2008,False,The Krolls,No Tour Assigned,Pod Club
2,25-10-2008,False,Swod,No Tour Assigned,Dom
3,25-10-2008,False,???????? ?????,No Tour Assigned,
4,25-10-2008,False,Teebee,No Tour Assigned,Tuning Hall
5,24-10-2008,False,Punch Inc.,No Tour Assigned,Strangel Club
6,24-10-2008,True,Dolphin,Junost',Ikra
7,23-10-2008,False,Jay-Jay Johanson,No Tour Assigned,B1 Maximum Club
8,22-10-2008,False,Russian Circles,Station,Aktoviy Zal
9,21-10-2008,True,Animosity,No Tour Assigned,Plan B Club
10,18-10-2008,True,Gorgoroth,No Tour Assigned,Plan B Club
11,18-10-2008,False,Cinema Bizarre,THE FINAL ATTRACTION TOUR 2008,
12,18-10-2008,False,Necro Stellar,No Tour Assigned,Mezzo-forte
13,18-10-2008,False,Paul Oakenfold,No Tour Assigned,Tuning Hall
14,18-10-2008,True,RSM,No Tour Assigned,Strangel Club
15,17-10-2008,True,65daysofstatic,No Tour Assigned,B1 Maximum Club
16,17-10-2008,False,London After Midnight,No Tour Assigned,Tochka
17,16-10-2008,False,Aphex Twin,No Tour Assigned,A2
18,16-10-2008,False,Robin Guthrie,No Tour Assigned,Duma Club
19,13-10-2008,False,Roger Hodgson,2008 Roger Hodgson World Tour,Moscow International House Of Music
20,05-04-2008,True,Splean,No Tour Assigned,SDK MAI
21,05-04-2008,True,Grendel,No Tour Assigned,Tochka
22,05-04-2008,True,Grave,No Tour Assigned,Club Gorod
23,05-04-2008,True,Hocico,No Tour Assigned,Tochka
24,04-04-2008,False,Nouvelle Vague,No Tour Assigned,B1 Maximum Club
25,04-04-2008,True,Splean,No Tour Assigned,SDK MAI
26,01-04-2008,True,Zemfira,Spasibo Tour,Olympijskiy Stadium
27,29-03-2008,False,Jane Air,No Tour Assigned,Tochka
28,29-03-2008,False,The Tiger Lillies,No Tour Assigned,Apelsin Club
29,28-03-2008,False,Mujuice,No Tour Assigned,
30,24-03-2008,True,Stuck Mojo,Ambushing Europe,Tochka
31,23-03-2008,False,Silence Kit,with Everything Is Made In China,B1 Maximum Club
32,23-03-2008,True,Rihanna,Good Girl Gone Bad Tour,Olympijskiy Stadium
33,22-03-2008,False,Astral Projection,No Tour Assigned,1Rock
34,22-03-2008,False,Electricity in Our Homes,No Tour Assigned,16 Tons
35,22-03-2008,False,Psilocybe Larvae,No Tour Assigned,Relax Club
36,22-03-2008,False,Neils Children,No Tour Assigned,16 Tons
37,21-03-2008,False,Kavinsky,No Tour Assigned,Ikra
38,21-03-2008,True,Die Krupps,No Tour Assigned,Apelsin Club
39,20-03-2008,False,Chuck Berry,No Tour Assigned,B1 Maximum Club
40,25-12-2015,False,Little Big,No Tour Assigned,Brooklyn Hall
41,25-12-2015,True,Dolphin,No Tour Assigned,16 Tons
42,24-12-2015,False,Pompeya,No Tour Assigned,16 Tons
43,23-12-2015,True,BondarevMIC,13,Vidnoe
44,20-12-2015,True,Vertical Voil,Pre-Debut,AmBar
45,20-12-2015,False,Asia Argento,No Tour Assigned,Noor Electro
46,20-12-2015,True,Agent Fresco,European Destrier Tour 2015,Club Teatr'
47,20-12-2015,True,Ledokol T.,"""Zatmenie Dobra"" tour",AmBar
48,20-12-2015,False,Adaen,No Tour Assigned,Club Teatr'
49,19-12-2015,False,Epidemia,No Tour Assigned,Ray Just Arena
50,19-12-2015,True,Pyogenesis,No Tour Assigned,Brooklyn Hall
51,19-12-2015,False,Robin Schulz,No Tour Assigned,Stadium Live
52,18-12-2015,False,Wet Red,No Tour Assigned,Dewar's Powerhouse
53,18-12-2015,False,Grisha Urgant,No Tour Assigned,Stadium Live
54,15-12-2015,True,Gamma Ray,Best of the Best - Party Tour 2015,Volta Club
55,12-12-2015,True,Faderhead,No Tour Assigned,Club Teatr'
56,12-12-2015,True,Liv Kristine,No Tour Assigned,Volta Club
57,12-12-2015,False,Solar Fake,No Tour Assigned,Club Teatr'
58,12-12-2015,True,Babylonia,No Tour Assigned,Club Teatr'
59,12-12-2015,True,In Strict Confidence,No Tour Assigned,Club Teatr'
60,03-02-2008,True,Bring Me the Horizon,No Tour Assigned,Tochka
61,01-02-2008,False,Alexander Hacke,No Tour Assigned,Aktoviy Zal
62,31-01-2008,False,2H Company,No Tour Assigned,Ikra
63,30-01-2008,False,Nancial,No Tour Assigned,Plan B Club
64,30-01-2008,False,Tracktor Bowling,No Tour Assigned,
65,29-01-2008,False,Boot-Led-Zeppelin,No Tour Assigned,Apelsin Club
66,28-01-2008,False,Boot-Led-Zeppelin,No Tour Assigned,Apelsin Club
67,27-01-2008,True,In Flames,No Tour Assigned,B1 Maximum Club
68,27-01-2008,False,Kimmo Pohjonen,No Tour Assigned,Ikra
69,27-01-2008,False,Aga_me,No Tour Assigned,Pod Club
70,25-01-2008,True,Suzi Quatro,No Tour Assigned,B1 Maximum Club
71,20-01-2008,False,Mooncake,No Tour Assigned,B2
72,18-01-2008,False,The World Domination,No Tour Assigned,16 Tons
73,16-01-2008,True,Yuri Okhotschinsky,No Tour Assigned,Ostankino Telecenter
74,13-01-2008,False,Stigmatic Chorus,No Tour Assigned,Tochka
75,12-01-2008,False,Elnordia,No Tour Assigned,Relax Club
76,11-01-2008,False,Butterfly Temple,No Tour Assigned,Relax Club
77,08-01-2008,False,Silence Kit,No Tour Assigned,Ikra
78,05-01-2008,False,Otto Dix,No Tour Assigned,Plan B Club
79,03-01-2008,False,Jane Air,No Tour Assigned,Tochka
80,17-09-2011,False,MC Darrison,No Tour Assigned,Arena Moscow
81,17-09-2011,False,DJ OZMA,No Tour Assigned,Arena Moscow
82,17-09-2011,False,Bes,No Tour Assigned,Arena Moscow
83,17-09-2011,False,nobody.one,No Tour Assigned,Milk (Small Stage)
84,16-09-2011,True,Bryan Ferry,Olympia Tour,Crocus City Hall
85,16-09-2011,True,Stratovarius,The 7 Sinners World Tour 2010/11,Milk
86,16-09-2011,False,Ryan Roxie,No Tour Assigned,Rock House
87,16-09-2011,True,Helloween,The 7 Sinners World Tour 2010/11,Milk
88,16-09-2011,False,Kirov,No Tour Assigned,Aktoviy Zal
89,16-09-2011,False,Ulrich Schnauss,No Tour Assigned,Red October
90,15-09-2011,False,Pompeya,No Tour Assigned,16 Tons
91,15-09-2011,False,The Grand Astoria,Omnipresence Tour 2011,FM Club
92,15-09-2011,False,Digimortal,No Tour Assigned,XO club
93,14-09-2011,False,Dope Stars Inc.,No Tour Assigned,Plan B Club
94,13-09-2011,True,My Own Private Alaska,No Tour Assigned,Plan B Club
95,10-09-2011,False,Yahel,No Tour Assigned,Milk
96,10-09-2011,True,Destruction,Russian Thrash Attack,XO club
97,10-09-2011,True,Khors,No Tour Assigned,Hleb
98,09-09-2011,False,Fail Emotions,No Tour Assigned,Milk
99,09-09-2011,True,Children of Bodom,The Ugly World Tour 2011,Arena Moscow
100,07-03-2015,True,Rome,No Tour Assigned,Club Teatr'
101,06-03-2015,False,Nominon,No Tour Assigned,Mona Club
102,06-03-2015,True,Jay-Jay Johanson,No Tour Assigned,Yotaspace
103,06-03-2015,True,Sabaton,Heroes on Tour,Ray Just Arena
104,06-03-2015,False,Elektromonteur,No Tour Assigned,Yotaspace
105,05-03-2015,True,Lower,No Tour Assigned,Dich
106,04-03-2015,True,We Butter the Bread With Butter,Russian Tour 2015,Volta Club
107,01-03-2015,True,Chelsea Grin,No Tour Assigned,Volta Club
108,01-03-2015,False,De-Phazz,No Tour Assigned,Yotaspace
109,01-03-2015,False,Veil of Maya,No Tour Assigned,Volta Club
110,01-03-2015,True,Lode Runner,No Tour Assigned,Dewar's Powerhouse
111,28-02-2015,True,Dolphin,No Tour Assigned,Crocus City Hall
112,28-02-2015,True,Periphery,Juggernaut,Volta Club
113,28-02-2015,True,Dead by April,No Tour Assigned,Yotaspace
114,27-02-2015,True,Mike Tramp,No Tour Assigned,China-Town-Cafe
115,27-02-2015,True,Agatha Christie,No Tour Assigned,Olympijskiy Stadium
116,26-02-2015,True,The Bohemians,No Tour Assigned,Club Teatr'
117,25-02-2015,False,Smokie,No Tour Assigned,Crocus City Hall
118,25-02-2015,False,Peter Brötzmann,No Tour Assigned,Dom
119,22-02-2015,True,Legion of the Damned,Russian Tour 2015,Brooklyn Hall
120,07-06-2003,False,Tequilajazzz,No Tour Assigned,B2
121,06-06-2003,False,Tequilajazzz,No Tour Assigned,16 Tons
122,31-05-2003,False,Uriah Heep,2003 Tour,Dvoryanskoe Gnezdo
123,31-05-2003,False,Mesh,No Tour Assigned,Roxy
124,29-05-2003,True,Gotthard,Human Zoo,Kremlin Palace
125,29-05-2003,True,Kingdom Come,No Tour Assigned,Kremlin Palace
126,26-05-2003,True,Uriah Heep,2003 Tour,"UZS ""Druzhba"" in Luzhniki"
127,24-05-2003,True,Paul McCartney,Back in the World,Red Square
128,23-05-2003,False,Splean,No Tour Assigned,B2
129,19-05-2003,False,The Necks,No Tour Assigned,Dom
130,18-05-2003,False,HIM,Love Metal,B2
131,17-05-2003,False,Splean,No Tour Assigned,Olympijskiy Stadium
132,17-05-2003,True,HIM,Love Metal,Olympijskiy Stadium
